
Validation results (2025-10-30 18:12:16.193361)
folds:  9
epochs per fold: 200
       |best MAE|  ACC  |
Fold 0 | 278.37 | 0.50  |
Fold 1 | 328.17 | 0.49  |
Fold 2 | 363.33 | 0.50  |
Fold 3 | 421.30 | 0.50  |
Fold 4 | 414.61 | 0.50  |
Fold 5 | 364.59 | 0.51  |
Fold 6 | 263.99 | 0.49  |
Fold 7 | 415.67 | 0.50  |
Fold 8 | 316.29 | 0.49  |
Avg    | 351.81 | 0.50  |
