
Validation results (2025-11-10 00:00:57.267680)
folds:  9
epochs per fold: 200
       |best MAE|  ACC  |
Fold 0 | 479.68 | 0.52  |
Fold 1 | 535.25 | 0.53  |
Fold 2 | 603.53 | 0.53  |
Fold 3 | 490.81 | 0.54  |
Fold 4 | 500.89 | 0.57  |
Fold 5 | 568.08 | 0.58  |
Fold 6 | 530.01 | 0.54  |
Fold 7 | 415.94 | 0.53  |
Fold 8 | 471.02 | 0.51  |
Avg    | 510.58 | 0.54  |
