
Validation results (2025-11-09 23:01:52.637736)
folds:  9
epochs per fold: 200
       |best MAE|  ACC  |
Fold 0 | 441.44 | 0.51  |
Fold 1 | 546.45 | 0.52  |
Fold 2 | 495.41 | 0.53  |
Fold 3 | 524.62 | 0.55  |
Fold 4 | 515.21 | 0.57  |
Fold 5 | 500.25 | 0.57  |
Fold 6 | 551.09 | 0.52  |
Fold 7 | 555.57 | 0.53  |
Fold 8 | 465.66 | 0.51  |
Avg    | 510.63 | 0.53  |
