timestamp,image_filename,magnetic_field_x,magnetic_field_y,magnetic_field_z,gps_latitude,gps_longitude,gps_altitude,heading_degrees,offset_degrees
1.7304E+18,/home/john/Documents/webcam_images/1730400639986884117.png,0.214952365,0.028084682,0.610770881,41.39088074,-73.95314415,-34.36265587,352.5561647,317.5561647
1.7304E+18,/home/john/Documents/webcam_images/1730400640050006389.png,0.213779569,0.022425015,0.610776961,41.39088101,-73.95314371,-34.34815115,354.0116967,319.0116967
1.7304E+18,/home/john/Documents/webcam_images/1730400640116755723.png,0.214865223,0.023543684,0.609470069,41.3908812,-73.95314317,-34.36333791,353.7468078,318.7468078
1.7304E+18,/home/john/Documents/webcam_images/1730400640190339803.png,0.21482189,0.021270076,0.609440088,41.39088173,-73.95314243,-34.3675072,354.3454255,319.3454255
1.7304E+18,/home/john/Documents/webcam_images/1730400640262517452.png,0.21695976,0.021217793,0.610539556,41.39088187,-73.95314203,-34.3771546,354.4144645,319.4144645
1.7304E+18,/home/john/Documents/webcam_images/1730400640329371452.png,0.214839756,0.022411764,0.608207047,41.39088207,-73.95314143,-34.39038183,354.0445304,319.0445304
1.7304E+18,/home/john/Documents/webcam_images/1730400640393686532.png,0.221242607,0.022286132,0.605281591,41.39088249,-73.9531408,-34.37819382,354.2479047,319.2479047
1.7304E+18,/home/john/Documents/webcam_images/1730400640466524600.png,0.223283753,0.016534211,0.610052884,41.3908827,-73.95314027,-34.39134904,355.7649645,320.7649645
1.7304E+18,/home/john/Documents/webcam_images/1730400640542639970.png,0.220096841,0.017751575,0.607794225,41.39088292,-73.95313972,-34.40440835,355.3888776,320.3888776
1.7304E+18,/home/john/Documents/webcam_images/1730400640615428209.png,0.213648394,0.015610053,0.609445333,41.39088223,-73.95314016,-34.32539339,355.8211541,320.8211541
1.7304E+18,/home/john/Documents/webcam_images/1730400640684677600.png,0.212621495,0.017905135,0.609541774,41.39088243,-73.95313966,-34.33938406,355.1864045,320.1864045
1.7304E+18,/home/john/Documents/webcam_images/1730400640754339933.png,0.210529804,0.020218374,0.610958219,41.39088265,-73.95313918,-34.3552024,354.5143836,319.5143836
1.7304E+18,/home/john/Documents/webcam_images/1730400640823205471.png,0.210514143,0.019070348,0.613437712,41.39088321,-73.95313873,-34.35932486,354.823739,319.823739
1.7304E+18,/home/john/Documents/webcam_images/1730400640891608238.png,0.211557075,0.017922919,0.610861897,41.39088345,-73.95313824,-34.37551058,355.157518,320.157518
1.7304E+18,/home/john/Documents/webcam_images/1730400640965020656.png,0.205295116,0.026015565,0.611387074,41.39088367,-73.95313772,-34.38808644,352.7778157,317.7778157
1.7304E+18,/home/john/Documents/webcam_images/1730400641039932966.png,0.211618409,0.021331521,0.610898256,41.39088396,-73.95313746,-34.37250598,354.2439244,319.2439244
1.7304E+18,/home/john/Documents/webcam_images/1730400641107257127.png,0.214759707,0.017853653,0.610642433,41.3908842,-73.95313706,-34.38221727,355.2477485,320.2477485
1.7304E+18,/home/john/Documents/webcam_images/1730400641179172754.png,0.210467815,0.016801933,0.612160087,41.39088439,-73.95313656,-34.39132403,355.4356795,320.4356795
1.7304E+18,/home/john/Documents/webcam_images/1730400641262836933.png,0.210524485,0.020222472,0.609706342,41.39088481,-73.95313586,-34.37977734,354.5131407,319.5131407
1.7304E+18,/home/john/Documents/webcam_images/1730400641381115436.png,0.211616293,0.021323031,0.612133384,41.39088508,-73.95313515,-34.40030109,354.2461428,319.2461428
1.7304E+18,/home/john/Documents/webcam_images/1730400641451255321.png,0.212601885,0.016747352,0.61325103,41.39088547,-73.95313454,-34.38404947,355.4959234,320.4959234
1.7304E+18,/home/john/Documents/webcam_images/1730400641530906200.png,0.20730941,0.0191164,0.6173715,41.39088563,-73.95313395,-34.39884652,354.7315448,319.7315448
1.7304E+18,/home/john/Documents/webcam_images/1730400641595457792.png,0.207367167,0.022537328,0.614919543,41.39088535,-73.95313222,-34.29143216,353.7972569,318.7972569
1.7304E+18,/home/john/Documents/webcam_images/1730400641667207002.png,0.209433809,0.019100517,0.611000955,41.39088552,-73.95313169,-34.30403573,354.7889986,319.7889986
1.7304E+18,/home/john/Documents/webcam_images/1730400641738709449.png,0.214732483,0.016706029,0.611854792,41.39088565,-73.95313135,-34.31260951,355.5513915,320.5513915
1.7304E+18,/home/john/Documents/webcam_images/1730400641805094957.png,0.210454613,0.01680846,0.609650314,41.39088588,-73.95313059,-34.247659,355.4336288,320.4336288
1.7304E+18,/home/john/Documents/webcam_images/1730400641865862607.png,0.211479411,0.014512118,0.60954839,41.39088599,-73.95313024,-34.25493013,356.0744091,321.0744091
1.7304E+18,/home/john/Documents/webcam_images/1730400641926934242.png,0.209433287,0.01908524,0.61347878,41.39088618,-73.95312976,-34.26809554,354.7931308,319.7931308
1.7304E+18,/home/john/Documents/webcam_images/1730400641992060422.png,0.209434256,0.019086119,0.613481224,41.39088656,-73.95312933,-34.26173846,354.7929162,319.7929162
1.7304E+18,/home/john/Documents/webcam_images/1730400642064424037.png,0.206271037,0.021426836,0.613720953,41.39088677,-73.95312889,-34.27841549,354.0695506,319.0695506
1.7304E+18,/home/john/Documents/webcam_images/1730400642141306161.png,0.208485499,0.025937857,0.61113745,41.39088699,-73.95312844,-34.29642361,352.9082228,317.9082228
1.7304E+18,/home/john/Documents/webcam_images/1730400642214114904.png,0.210578799,0.023619099,0.610966146,41.3908874,-73.953128,-34.30105742,353.6002951,318.6002951
1.7304E+18,/home/john/Documents/webcam_images/1730400642288897275.png,0.210643336,0.027022297,0.612249136,41.39088755,-73.95312773,-34.3105488,352.6897606,317.6897606
1.7304E+18,/home/john/Documents/webcam_images/1730400642352382898.png,0.20319128,0.028312843,0.614013791,41.39088776,-73.95312727,-34.32222136,352.0674341,317.0674341
1.7304E+18,/home/john/Documents/webcam_images/1730400642423367261.png,0.208484352,0.025937343,0.611135602,41.39088833,-73.95312684,-34.32016667,352.9083233,317.9083233
1.7304E+18,/home/john/Documents/webcam_images/1730400642490177631.png,0.204191715,0.0248926,0.611411214,41.39088852,-73.95312644,-34.32967703,353.0494835,318.0494835
1.7304E+18,/home/john/Documents/webcam_images/1730400642562687158.png,0.20318903,0.028318841,0.61276871,41.3908887,-73.953126,-34.3382661,352.0656884,317.0656884
1.7304E+18,/home/john/Documents/webcam_images/1730400642639241933.png,0.206415966,0.029380498,0.613810122,41.39088846,-73.95312579,-34.28207114,351.8991413,316.8991413
1.7304E+18,/home/john/Documents/webcam_images/1730400642714421033.png,0.205428094,0.033954058,0.612686098,41.39088862,-73.95312529,-34.2949149,350.614753,315.614753
1.7304E+18,/home/john/Documents/webcam_images/1730400642786965131.png,0.204382733,0.035106879,0.614015102,41.39088871,-73.95312498,-34.30413022,350.2534031,315.2534031
1.7304E+18,/home/john/Documents/webcam_images/1730400642853005886.png,0.202265695,0.036287971,0.61416775,41.39088908,-73.95312421,-34.29242104,349.8289153,314.8289153
1.7304E+18,/home/john/Documents/webcam_images/1730400642924489736.png,0.203371704,0.038542364,0.612873077,41.39088922,-73.9531237,-34.3040282,349.2687534,314.2687534
1.7304E+18,/home/john/Documents/webcam_images/1730400642992800712.png,0.204496279,0.041939527,0.610346735,41.39088947,-73.9531229,-34.27748643,348.4100906,313.4100906
1.7304E+18,/home/john/Documents/webcam_images/1730400643074812889.png,0.207678929,0.040734749,0.610116243,41.39088969,-73.95312229,-34.29388116,348.9027195,313.9027195
1.7304E+18,/home/john/Documents/webcam_images/1730400643182968378.png,0.203326285,0.036274973,0.61159873,41.39088993,-73.95312151,-34.27807675,349.8844201,314.8844201
1.7304E+18,/home/john/Documents/webcam_images/1730400643267186641.png,0.205480784,0.037371527,0.610222518,41.39089015,-73.95312104,-34.2924816,349.6920806,314.6920806
